Majority_protein_IDs	Fasta_headers	Score	id	Phospho_(STY)_site_IDs	Description	Gene_name	Uniprot_ID
sp|P35908|K22E_HUMAN;CON__P35908v2;CON__P35908	sp|P35908|K22E_HUMAN Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2;;	224.73	36	NA	Keratin, type II cytoskeletal 2 epidermal	KRT2	P35908
CON__P41361	NA	42.253	37	18	NA	NA	NA
CON__P81644	NA	7.3806	38	NA	NA	NA	NA
CON__Q03247	NA	154.47	39	NA	NA	NA	NA
sp|Q04695|K1C17_HUMAN;CON__Q04695;CON__Q9QWL7;tr|F5GWP8|F5GWP8_HUMAN;tr|K7EPJ9|K7EPJ9_HUMAN;tr|Q14666|Q14666_HUMAN	sp|Q04695|K1C17_HUMAN Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2;;;tr|F5GWP8|F5GWP8_HUMAN Keratin, type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2;tr|K7EPJ9|K7EPJ9_HUMAN Keratin, type I cytoskeletal 17 (Fra	49.956	40	NA	Keratin, type I cytoskeletal 17	KRT17	Q04695
CON__Q05B55	NA	2.4379	41	NA	NA	NA	NA
CON__Q29443;CON__Q0IIK2	;	79.816	42	NA	NA	NA	NA
CON__Q0V8M9	NA	3.6055	43	NA	NA	NA	NA
CON__Q1RMK2	NA	8.876	44	NA	NA	NA	NA
CON__Q28065	NA	20.82	45	NA	NA	NA	NA
CON__Q28107	NA	216.74	46	19	NA	NA	NA
CON__Q28194;tr|A0A024R9Q1|A0A024R9Q1_HUMAN;sp|P07996|TSP1_HUMAN	;tr|A0A024R9Q1|A0A024R9Q1_HUMAN Thrombospondin 1, isoform CRA_a OS=Homo sapiens OX=9606 GN=THBS1 PE=4 SV=1;sp|P07996|TSP1_HUMAN Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2	83.936	47	NA	Thrombospondin 1, isoform CRA_a	THBS1	A0A024R9Q1
CON__Q2KIH2	NA	3.627	48	NA	NA	NA	NA
CON__Q2UVX4	NA	98.116	49	NA	NA	NA	NA
CON__Q3MHN5	NA	15.594	50	NA	NA	NA	NA
CON__Q3SX09	NA	117.29	51	NA	NA	NA	NA
CON__Q3SX14	NA	7.1186	52	20	NA	NA	NA
CON__Q3SZ57;tr|B4DMX4|B4DMX4_HUMAN;tr|B4DMW9|B4DMW9_HUMAN;sp|P02771|FETA_HUMAN;tr|J3KMX3|J3KMX3_HUMAN	;tr|B4DMX4|B4DMX4_HUMAN cDNA FLJ57154, highly similar to Alpha-fetoprotein OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B4DMW9|B4DMW9_HUMAN cDNA FLJ51509, highly similar to Alpha-fetoprotein OS=Homo sapiens OX=9606 PE=2 SV=1;sp|P02771|FETA_HUMAN Alpha-fetoprotein	6.6719	53	NA	cDNA FLJ57154, highly similar to Alpha-fetoprotein	NA	B4DMX4
CON__Q3SZH5	NA	15.735	54	NA	NA	NA	NA
CON__Q3SZR3	NA	3.3677	55	NA	NA	NA	NA
CON__Q3T052	NA	19.129	56	NA	NA	NA	NA
CON__Q3Y5Z3	NA	2.9389	57	NA	NA	NA	NA
CON__Q3ZBS7	NA	51.498	58	NA	NA	NA	NA
CON__Q58D62	NA	1.9648	59	NA	NA	NA	NA
sp|Q5D862|FILA2_HUMAN;CON__Q5D862	sp|Q5D862|FILA2_HUMAN Filaggrin-2 OS=Homo sapiens OX=9606 GN=FLG2 PE=1 SV=1;	-2	60	8843	Filaggrin-2	FLG2	Q5D862
CON__Q7RTS7;sp|Q7RTS7|K2C74_HUMAN;tr|F8W1S1|F8W1S1_HUMAN	;sp|Q7RTS7|K2C74_HUMAN Keratin, type II cytoskeletal 74 OS=Homo sapiens OX=9606 GN=KRT74 PE=1 SV=2;tr|F8W1S1|F8W1S1_HUMAN Keratin, type II cytoskeletal 74 OS=Homo sapiens OX=9606 GN=KRT74 PE=1 SV=1	-2	61	21	Keratin, type II cytoskeletal 74	KRT74	Q7RTS7
sp|Q86YZ3|HORN_HUMAN;CON__Q86YZ3	sp|Q86YZ3|HORN_HUMAN Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2;	1.9693	62	22	Hornerin	HRNR	Q86YZ3
CON__Q95121;tr|A0A140VKF3|A0A140VKF3_HUMAN;sp|P36955|PEDF_HUMAN	;tr|A0A140VKF3|A0A140VKF3_HUMAN Testis tissue sperm-binding protein Li 70n OS=Homo sapiens OX=9606 PE=2 SV=1;sp|P36955|PEDF_HUMAN Pigment epithelium-derived factor OS=Homo sapiens OX=9606 GN=SERPINF1 PE=1 SV=4	4.6419	63	NA	Testis tissue sperm-binding protein Li 70n	SERPINF1	A0A140VKF3
CON__Q9N2I2	NA	27.979	64	NA	NA	NA	NA
CON__Q9TRI1	NA	84.625	65	23;24;25;7176	NA	NA	NA
CON__Q9TTE1;CON__A2I7N1;CON__A2I7N0	;;	4.2839	66	NA	NA	NA	NA
REV__CON__O76011;REV__tr|A0A140TA69|A0A140TA69_HUMAN;REV__tr|A0A140TA62|A0A140TA62_HUMAN;REV__sp|O76011|KRT34_HUMAN;REV__CON__Q8IUT8	;tr|A0A140TA69|A0A140TA69_HUMAN Keratin, type I cuticular Ha4 OS=Homo sapiens OX=9606 GN=KRT34 PE=3 SV=1;tr|A0A140TA62|A0A140TA62_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 GN=LOC100653049 PE=3 SV=2;sp|O76011|KRT34_HUMAN Keratin, type I cuticula	2.0695	67	NA	Keratin, type I cuticular Ha4	KRT34	A0A140TA69
REV__tr|Q16804|Q16804_HUMAN;REV__tr|Q3KPF3|Q3KPF3_HUMAN;REV__sp|A0A087X1C5|CP2D7_HUMAN;REV__tr|Q2XND3|Q2XND3_HUMAN;REV__tr|D5KN01|D5KN01_HUMAN;REV__tr|D5KN50|D5KN50_HUMAN;REV__tr|D5KN61|D5KN61_HUMAN;REV__tr|D5KN64|D5KN64_HUMAN;REV__tr|D5KNB5|D5KNB5_HUMAN;REV__tr|D5KND2|D5KND2_HUMAN;REV__tr|G9CGD2|G9CGD2_HUMAN;REV__tr|D5KMZ1|D5KMZ1_HUMAN;REV__tr|E7ENE7|E7ENE7_HUMAN;REV__tr|Q6ICD8|Q6ICD8_HUMAN;REV__tr|Q38LG0|Q38LG0_HUMAN;REV__tr|Q2XND2|Q2XND2_HUMAN;REV__tr|Q2XND8|Q2XND8_HUMAN;REV__tr|Q2XND0|Q2XND0_HUMAN;REV__tr|Q16753|Q16753_HUMAN;REV__tr|A0A0G2JMD2|A0A0G2JMD2_HUMAN;REV__tr|A0A0G2JNM9|A0A0G2JNM9_HUMAN;REV__tr|A0A0U1RRC6|A0A0U1RRC6_HUMAN;REV__tr|Q6NWU0|Q6NWU0_HUMAN;REV__tr|D5KMU6|D5KMU6_HUMAN;REV__tr|D5KMS0|D5KMS0_HUMAN;REV__tr|A0A0F7KYR9|A0A0F7KYR9_HUMAN;REV__sp|P10635|CP2D6_HUMAN;REV__tr|A0A087WXN8|A0A087WXN8_HUMAN;REV__tr|A0A0G2JLK7|A0A0G2JLK7_HUMAN;REV__tr|A0A0G2JLV4|A0A0G2JLV4_HUMAN;REV__tr|A0A0G2JN61|A0A0G2JN61_HUMAN;REV__tr|A0A0U1RQD0|A0A0U1RQD0_HUMAN;REV__tr|A0A1B0GV74|A0A1B0GV74_HUMAN;REV__tr|A0A0G2JSD7|A0A0G2JSD7_HUMAN;REV__tr|A0A1B0GU72|A0A1B0GU72_HUMAN;REV__tr|D5KN10|D5KN10_HUMAN;REV__tr|Q38LG2|Q38LG2_HUMAN;REV__tr|C1ID54|C1ID54_HUMAN;REV__tr|D5KMR1|D5KMR1_HUMAN;REV__tr|D5KMQ2|D5KMQ2_HUMAN;REV__tr|D0U5L8|D0U5L8_HUMAN;REV__tr|W5QSH4|W5QSH4_HUMAN;REV__tr|C1ID52|C1ID52_HUMAN;REV__tr|D5KMU5|D5KMU5_HUMAN;REV__tr|A0A0F7L0X4|A0A0F7L0X4_HUMAN;REV__tr|Q59FG8|Q59FG8_HUMAN	tr|Q16804|Q16804_HUMAN Cytochrome P450db1 (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;tr|Q3KPF3|Q3KPF3_HUMAN Cytochrome P450, family 2, subfamily D, polypeptide 6 OS=Homo sapiens OX=9606 GN=CYP2D6 PE=2 SV=1;sp|A0A087X1C5|CP2D7_HUMAN Putative cytochrome P4	-2	68	26	Cytochrome P450db1 (Fragment)	CYP2D6	Q16804
REV__tr|Q2VIL8|Q2VIL8_HUMAN;REV__tr|A0A2R8YE69|A0A2R8YE69_HUMAN;REV__tr|A0A2R8Y569|A0A2R8Y569_HUMAN;REV__sp|Q8IX94|CTGE4_HUMAN;REV__sp|Q86UF2|CTGE6_HUMAN;REV__sp|P0CG41|CTGE8_HUMAN;REV__sp|A4FU28|CTGE9_HUMAN;REV__sp|A4D2H0|CTGEF_HUMAN;REV__tr|Q59FD2|Q59FD2_HUMAN;REV__tr|G3V599|G3V599_HUMAN;REV__sp|Q96PC5|MIA2_HUMAN	tr|Q2VIL8|Q2VIL8_HUMAN RcCTAGE5 (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A2R8YE69|A0A2R8YE69_HUMAN Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A2R8Y569|A0A2R8Y569_HUMAN cTAGE family member 4 OS=Homo sapiens OX=9606 GN=CTAGE4 PE=	2.2469	69	NA	RcCTAGE5 (Fragment)	CTAGE4	Q2VIL8
REV__tr|A0A1W2PRM3|A0A1W2PRM3_HUMAN;REV__tr|A0A286YFC2|A0A286YFC2_HUMAN;REV__sp|A6NNM8|TTL13_HUMAN	tr|A0A1W2PRM3|A0A1W2PRM3_HUMAN Tubulin polyglutamylase TTLL13P OS=Homo sapiens OX=9606 GN=TTLL13P PE=4 SV=1;tr|A0A286YFC2|A0A286YFC2_HUMAN Tubulin polyglutamylase TTLL13P OS=Homo sapiens OX=9606 GN=TTLL13P PE=4 SV=1;sp|A6NNM8|TTL13_HUMAN Tubulin polyglutam	-2	70	27;28	Tubulin polyglutamylase TTLL13P	TTLL13P	A0A1W2PRM3
REV__sp|O15078|CE290_HUMAN;REV__tr|J3KNF5|J3KNF5_HUMAN	sp|O15078|CE290_HUMAN Centrosomal protein of 290 kDa OS=Homo sapiens OX=9606 GN=CEP290 PE=1 SV=2;tr|J3KNF5|J3KNF5_HUMAN Centrosomal protein of 290 kDa OS=Homo sapiens OX=9606 GN=CEP290 PE=1 SV=1	-2	71	NA	Centrosomal protein of 290 kDa	CEP290	O15078
REV__tr|Q59GT1|Q59GT1_HUMAN;REV__tr|Q562E6|Q562E6_HUMAN;REV__sp|O15111|IKKA_HUMAN	tr|Q59GT1|Q59GT1_HUMAN Conserved helix-loop-helix ubiquitous kinase variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;tr|Q562E6|Q562E6_HUMAN Conserved helix-loop-helix ubiquitous kinase OS=Homo sapiens OX=9606 GN=CHUK PE=2 SV=1;sp|O15111|IKKA_HUMAN Inhi	-2	72	29	Conserved helix-loop-helix ubiquitous kinase variant (Fragment)	CHUK	Q59GT1
REV__sp|O15230|LAMA5_HUMAN	sp|O15230|LAMA5_HUMAN Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8	2.2722	73	NA	Laminin subunit alpha-5	LAMA5	O15230
REV__tr|Q59FK6|Q59FK6_HUMAN;REV__sp|O15440|MRP5_HUMAN	tr|Q59FK6|Q59FK6_HUMAN Multidrug resistance-associated protein 5 variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;sp|O15440|MRP5_HUMAN Multidrug resistance-associated protein 5 OS=Homo sapiens OX=9606 GN=ABCC5 PE=1 SV=2	2.0284	74	NA	Multidrug resistance-associated protein 5 variant (Fragment)	ABCC5	Q59FK6
REV__tr|A0A286YFG8|A0A286YFG8_HUMAN;REV__tr|Q53RT9|Q53RT9_HUMAN;REV__sp|O43150|ASAP2_HUMAN	tr|A0A286YFG8|A0A286YFG8_HUMAN Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=ASAP2 PE=1 SV=1;tr|Q53RT9|Q53RT9_HUMAN Uncharacterized protein DDEF2 (Fragment) OS=Homo sapiens OX=9606 GN=DDEF2 PE=	-2	75	7177	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 (Fragment)	ASAP2	A0A286YFG8
REV__tr|B4DUL3|B4DUL3_HUMAN;REV__tr|B4DND5|B4DND5_HUMAN;REV__tr|A0A0S2Z530|A0A0S2Z530_HUMAN;REV__tr|A0A0S2Z501|A0A0S2Z501_HUMAN;REV__tr|B4DGP4|B4DGP4_HUMAN;REV__tr|V5T7C5|V5T7C5_HUMAN;REV__sp|O75112|LDB3_HUMAN	tr|B4DUL3|B4DUL3_HUMAN cDNA FLJ53661, highly similar to Mus musculus LIM domain binding 3 (Ldb3), transcript variant 6, mRNA OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B4DND5|B4DND5_HUMAN cDNA FLJ52572, highly similar to LIM domain-binding protein 3 OS=Homo sapi	-2	76	30	cDNA FLJ53661, highly similar to Mus musculus LIM domain binding 3 (Ldb3), transcript variant 6, mRNA	NA	B4DUL3
REV__tr|Q9P0K4|Q9P0K4_HUMAN;REV__tr|Q9P0K6|Q9P0K6_HUMAN;REV__tr|I6NLS4|I6NLS4_HUMAN;REV__sp|O76074|PDE5A_HUMAN	tr|Q9P0K4|Q9P0K4_HUMAN cGMP-specific phosphodiesterase PDE5A1 (Fragment) OS=Homo sapiens OX=9606 GN=PDE5A PE=4 SV=1;tr|Q9P0K6|Q9P0K6_HUMAN cGMP-specific phosphodiesterase PDE5A1 (Fragment) OS=Homo sapiens OX=9606 GN=PDE5A PE=2 SV=1;tr|I6NLS4|I6NLS4_HUMAN P	2.6615	77	NA	cGMP-specific phosphodiesterase PDE5A1 (Fragment)	PDE5A	Q9P0K4
REV__sp|O95235|KI20A_HUMAN	sp|O95235|KI20A_HUMAN Kinesin-like protein KIF20A OS=Homo sapiens OX=9606 GN=KIF20A PE=1 SV=1	-2	78	NA	Kinesin-like protein KIF20A	KIF20A	O95235
REV__tr|B4E1F5|B4E1F5_HUMAN;REV__tr|H0Y7V6|H0Y7V6_HUMAN;REV__tr|B2RC55|B2RC55_HUMAN;REV__sp|P07988|PSPB_HUMAN;REV__tr|D6W5L6|D6W5L6_HUMAN	tr|B4E1F5|B4E1F5_HUMAN cDNA FLJ57475, highly similar to Pulmonary surfactant-associated protein B OS=Homo sapiens OX=9606 PE=2 SV=1;tr|H0Y7V6|H0Y7V6_HUMAN Pulmonary surfactant-associated protein B (Fragment) OS=Homo sapiens OX=9606 GN=SFTPB PE=1 SV=1;tr|B2	-2	79	31	cDNA FLJ57475, highly similar to Pulmonary surfactant-associated protein B	SFTPB	B4E1F5
REV__sp|P11055|MYH3_HUMAN	sp|P11055|MYH3_HUMAN Myosin-3 OS=Homo sapiens OX=9606 GN=MYH3 PE=1 SV=3	-2	80	32;33	Myosin-3	MYH3	P11055
REV__tr|Q9UEH3|Q9UEH3_HUMAN;REV__tr|A0A2R8YF67|A0A2R8YF67_HUMAN;REV__tr|B4DPQ9|B4DPQ9_HUMAN;REV__tr|S5RXA4|S5RXA4_HUMAN;REV__tr|S5RV29|S5RV29_HUMAN;REV__tr|S5RV20|S5RV20_HUMAN;REV__tr|S5RG22|S5RG22_HUMAN;REV__tr|S5R8H1|S5R8H1_HUMAN;REV__tr|S5R8G8|S5R8G8_HUMAN;REV__sp|P11712|CP2C9_HUMAN	tr|Q9UEH3|Q9UEH3_HUMAN Cytochrome P-450 2C (Fragment) OS=Homo sapiens OX=9606 GN=CYP2C9 PE=4 SV=1;tr|A0A2R8YF67|A0A2R8YF67_HUMAN Cytochrome P450 2C9 OS=Homo sapiens OX=9606 GN=CYP2C9 PE=1 SV=1;tr|B4DPQ9|B4DPQ9_HUMAN cDNA FLJ58095, highly similar to Cytochr	-2	81	34	Cytochrome P-450 2C (Fragment)	CYP2C9	Q9UEH3
REV__tr|Q59HB5|Q59HB5_HUMAN;REV__tr|D3DT71|D3DT71_HUMAN;REV__sp|P12107|COBA1_HUMAN;REV__tr|D3DT72|D3DT72_HUMAN;REV__tr|B4DQZ0|B4DQZ0_HUMAN;REV__tr|Q59EE7|Q59EE7_HUMAN;REV__tr|B2ZZ86|B2ZZ86_HUMAN;REV__tr|A0A024R8E5|A0A024R8E5_HUMAN;REV__sp|P20908|CO5A1_HUMAN	tr|Q59HB5|Q59HB5_HUMAN Alpha 1 type XI collagen isoform C preproprotein variant (Fragment) OS=Homo sapiens OX=9606 PE=2 SV=1;tr|D3DT71|D3DT71_HUMAN Collagen, type XI, alpha 1, isoform CRA_b OS=Homo sapiens OX=9606 GN=COL11A1 PE=4 SV=1;sp|P12107|COBA1_HUMAN	2.5036	82	35	Alpha 1 type XI collagen isoform C preproprotein variant (Fragment)	COL11A1	Q59HB5
REV__tr|A0A1B1PFX2|A0A1B1PFX2_HUMAN;REV__tr|Q86W61|Q86W61_HUMAN;REV__tr|D6RGZ6|D6RGZ6_HUMAN;REV__tr|E9PF17|E9PF17_HUMAN;REV__tr|A0A024RAP3|A0A024RAP3_HUMAN;REV__tr|A0A024RAL1|A0A024RAL1_HUMAN;REV__tr|A0A024RAQ9|A0A024RAQ9_HUMAN;REV__sp|P13611|CSPG2_HUMAN;REV__tr|Q59FG9|Q59FG9_HUMAN	tr|A0A1B1PFX2|A0A1B1PFX2_HUMAN Versican core protein (Fragment) OS=Homo sapiens OX=9606 GN=VCAN PE=4 SV=1;tr|Q86W61|Q86W61_HUMAN VCAN protein OS=Homo sapiens OX=9606 GN=VCAN PE=1 SV=1;tr|D6RGZ6|D6RGZ6_HUMAN Versican core protein (Fragment) OS=Homo sapiens	2.2848	83	NA	Versican core protein (Fragment)	VCAN	A0A1B1PFX2
REV__tr|F5H212|F5H212_HUMAN;REV__sp|P15822|ZEP1_HUMAN	tr|F5H212|F5H212_HUMAN Zinc finger protein 40 OS=Homo sapiens OX=9606 GN=HIVEP1 PE=1 SV=2;sp|P15822|ZEP1_HUMAN Zinc finger protein 40 OS=Homo sapiens OX=9606 GN=HIVEP1 PE=1 SV=3	2.6499	84	NA	Zinc finger protein 40	HIVEP1	F5H212
REV__tr|B3KRF7|B3KRF7_HUMAN;REV__tr|E9PC66|E9PC66_HUMAN;REV__tr|B3KNP9|B3KNP9_HUMAN;REV__sp|P17029|ZKSC1_HUMAN	tr|B3KRF7|B3KRF7_HUMAN Zinc finger protein with KRAB and SCAN domains 1 OS=Homo sapiens OX=9606 GN=ZKSCAN1 PE=1 SV=1;tr|E9PC66|E9PC66_HUMAN Zinc finger protein with KRAB and SCAN domains 1 OS=Homo sapiens OX=9606 GN=ZKSCAN1 PE=1 SV=1;tr|B3KNP9|B3KNP9_HUMAN	2.1339	85	36	Zinc finger protein with KRAB and SCAN domains 1	ZKSCAN1	B3KRF7
REV__sp|P20851|C4BPB_HUMAN	sp|P20851|C4BPB_HUMAN C4b-binding protein beta chain OS=Homo sapiens OX=9606 GN=C4BPB PE=1 SV=1	-2	86	37	C4b-binding protein beta chain	C4BPB	P20851
REV__tr|H0YKZ4|H0YKZ4_HUMAN;REV__tr|A2RQD9|A2RQD9_HUMAN;REV__tr|H7BXT3|H7BXT3_HUMAN;REV__tr|H0Y3Q0|H0Y3Q0_HUMAN;REV__tr|Q59H04|Q59H04_HUMAN;REV__tr|A0A024RCE2|A0A024RCE2_HUMAN;REV__tr|A0A024RCD0|A0A024RCD0_HUMAN;REV__tr|A0A087WZR0|A0A087WZR0_HUMAN;REV__sp|P29122|PCSK6_HUMAN;REV__tr|A0A087WY68|A0A087WY68_HUMAN	tr|H0YKZ4|H0YKZ4_HUMAN Proprotein convertase subtilisin/kexin type 6 (Fragment) OS=Homo sapiens OX=9606 GN=PCSK6 PE=1 SV=1;tr|A2RQD9|A2RQD9_HUMAN Proprotein convertase subtilisin/kexin type 6 (Fragment) OS=Homo sapiens OX=9606 GN=PCSK6 PE=2 SV=1;tr|H7BXT3|	2.0762	87	NA	Proprotein convertase subtilisin/kexin type 6 (Fragment)	PCSK6	H0YKZ4
REV__tr|C9J4M6|C9J4M6_HUMAN;REV__tr|B4DR40|B4DR40_HUMAN;REV__tr|B4DH29|B4DH29_HUMAN;REV__tr|A0A1W2PPT5|A0A1W2PPT5_HUMAN;REV__tr|C9J2Y9|C9J2Y9_HUMAN;REV__tr|B4DHJ3|B4DHJ3_HUMAN;REV__sp|P30876|RPB2_HUMAN	tr|C9J4M6|C9J4M6_HUMAN DNA-directed RNA polymerase subunit beta OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=3;tr|B4DR40|B4DR40_HUMAN DNA-directed RNA polymerase subunit beta OS=Homo sapiens OX=9606 PE=2 SV=1;tr|B4DH29|B4DH29_HUMAN DNA-directed RNA polymerase	2.7378	88	NA	DNA-directed RNA polymerase subunit beta	POLR2B	C9J4M6
REV__sp|P35251|RFC1_HUMAN;REV__tr|H0Y9P8|H0Y9P8_HUMAN	sp|P35251|RFC1_HUMAN Replication factor C subunit 1 OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=4;tr|H0Y9P8|H0Y9P8_HUMAN Replication factor C subunit 1 (Fragment) OS=Homo sapiens OX=9606 GN=RFC1 PE=1 SV=1	3.1038	89	38;39	Replication factor C subunit 1	RFC1	P35251
